timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
567665731,567665112,0.7671698,-0.009853848,0.007905834,0.6413197,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567700891,567700429,0.76714015,-0.009859384,0.007905813,0.64135504,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567709797,567706283,0.7671946,-0.00986085,0.007914989,0.6412898,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567710972,567710564,0.7672117,-0.009863314,0.007907767,0.64126945,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567722397,567720614,0.76714903,-0.009869387,0.007918698,0.64134425,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567726280,567725724,0.76712734,-0.009865067,0.007922084,0.64137,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567736404,567730735,0.76713234,-0.009866472,0.007929245,0.641364,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567741925,567741132,0.7672357,-0.009868451,0.007924761,0.6412405,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567746493,567745929,0.76726097,-0.009873957,0.007920697,0.64121,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567751514,567750966,0.76725554,-0.009870069,0.007920305,0.6412167,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567761561,567756012,0.7672134,-0.009869452,0.007920313,0.6412672,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567762860,567762382,0.7671902,-0.009865699,0.007921132,0.6412948,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567767966,567767377,0.7671951,-0.009866541,0.0079205,0.6412892,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567779984,567778812,0.7672518,-0.009862668,0.007917986,0.6412213,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567784542,567783806,0.76725775,-0.009859876,0.007918393,0.6412142,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567789490,567788926,0.7672696,-0.009863178,0.007908909,0.6412001,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567794505,567793956,0.7672655,-0.009868434,0.007891998,0.641205,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567804545,567799015,0.76725626,-0.009861031,0.007889459,0.6412164,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567805775,567805320,0.7672367,-0.009864002,0.007871959,0.6412399,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567810985,567810404,0.7672303,-0.009867504,0.007864707,0.64124763,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567815987,567815414,0.7672141,-0.009872001,0.007862371,0.64126694,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567826097,567825517,0.7671813,-0.009872727,0.007847583,0.64130634,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567831303,567830582,0.76715904,-0.009874009,0.007835978,0.6413331,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567836382,567835773,0.7671456,-0.009876126,0.007825722,0.6413495,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567846345,567840648,0.7671267,-0.009882236,0.007824363,0.64137185,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567848248,567845702,0.76711786,-0.009881242,0.007818376,0.64138246,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567856363,567850770,0.76710725,-0.009879328,0.0078232335,0.64139515,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567858388,567857199,0.7670903,-0.009876165,0.007832935,0.6414153,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567862740,567862149,0.7670845,-0.009871706,0.007835275,0.6414223,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567872823,567872251,0.76712155,-0.009867645,0.007842794,0.64137805,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567877810,567877288,0.7671318,-0.009857221,0.007825879,0.641366,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567888032,567883682,0.7671383,-0.009842258,0.007812652,0.6413587,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567893152,567892525,0.76713777,-0.009833771,0.007818302,0.6413594,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567898098,567897497,0.7671358,-0.009841126,0.007829579,0.6413615,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567903167,567902577,0.7671474,-0.009831561,0.007865932,0.6413473,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567908233,567907646,0.76714116,-0.009834497,0.007899196,0.64135426,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567918360,567912738,0.7671451,-0.00983809,0.007931859,0.64134926,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567920441,567919269,0.7671606,-0.009836363,0.007975825,0.64133006,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567924685,567924045,0.76715183,-0.009846284,0.008009756,0.64133996,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567929747,567929127,0.7671555,-0.00984949,0.008050999,0.64133495,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567934649,567934168,0.76716983,-0.009880303,0.008095233,0.641317,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567939892,567939295,0.76716405,-0.009907621,0.008147469,0.6413226,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567951611,567950682,0.76716846,-0.009953789,0.008283573,0.641315,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567956350,567955739,0.7671669,-0.009984981,0.008331638,0.6413156,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567967460,567966978,0.76716477,-0.010029426,0.0084508695,0.6413162,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567972639,567972070,0.76716334,-0.01005203,0.008488454,0.64131683,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567977658,567977110,0.7671714,-0.010083353,0.008524973,0.6413063,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567987678,567987229,0.76715386,-0.010131499,0.00857296,0.64132595,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
567992952,567992319,0.7671576,-0.010171998,0.008582685,0.64132047,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
568004814,568003681,0.7671364,-0.010226401,0.008588768,0.6413449,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
568009256,568008701,0.7671172,-0.010238198,0.008584934,0.6413679,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
568014328,568013724,0.7671038,-0.010253425,0.008569035,0.6413839,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
568023114,568022563,0.76708895,-0.010249897,0.00853955,0.64140207,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
568031970,568027629,0.76707166,-0.010246919,0.008520265,0.641423,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
568038228,568037745,0.7670602,-0.010230608,0.008461553,0.6414378,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
568043343,568042761,0.7670489,-0.0102292085,0.008427292,0.64145166,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
568052387,568047854,0.76705873,-0.0102243,0.008386854,0.6414407,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
568054578,568052906,0.7670543,-0.010219449,0.008353493,0.6414465,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
568058516,568057957,0.7670547,-0.010215137,0.008310214,0.6414466,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
568063588,568063020,0.76707476,-0.010202207,0.008270754,0.6414233,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
568068709,568068084,0.7670696,-0.010182542,0.00823302,0.64143044,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
568073807,568073121,0.7670809,-0.010166143,0.008194295,0.6414175,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
568083670,568078169,0.767099,-0.010136747,0.0081549985,0.6413968,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
568085942,568084496,0.7671001,-0.010091271,0.008111418,0.6413968,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
568095068,568094557,0.7671271,-0.0100112595,0.008069608,0.6413663,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
568104003,568103387,0.76713896,-0.009943209,0.008050603,0.6413535,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
568108918,568108429,0.7671596,-0.009930578,0.008042358,0.6413291,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
568118048,568113510,0.7671634,-0.00990097,0.0080383085,0.64132506,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
568119103,568118665,0.76717114,-0.009874024,0.008036336,0.641316,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
568124514,568123843,0.7671939,-0.009873058,0.008034328,0.641289,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
568129388,568128746,0.7671914,-0.009856132,0.008045388,0.64129204,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
568140494,568140093,0.7672006,-0.009819567,0.008071173,0.64128125,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
568149461,568145417,0.76718843,-0.009806295,0.0080938805,0.64129573,0.7086451,4.1272874e-09,-2.6684577e-09,0.7055651,1
