timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
956249927,0.000761424,0.00062467705,-0.0017122483,5073,0,0.55556095,0.15904038,-9.813096,5073,0,32,1,1
956255007,-0.001680932,0.0014635863,0.0011041202,5080,0,0.55114114,0.15433472,-9.815138,5080,0,32,1,1
956259432,3.6418573e-05,0.0020289975,-0.003843946,4425,0,0.54585946,0.14685282,-9.813496,4425,0,32,1,1
956263863,-0.0013495495,0.0019228517,0.00030342475,4431,0,0.55655193,0.15161036,-9.8225155,4431,0,32,1,1
956268899,-0.0007120234,-0.0008362606,-0.0017860562,5036,0,0.5597098,0.14502066,-9.830456,5036,0,32,1,1
956280261,-0.0020862932,0.0012442517,-0.0017190742,6249,0,0.5454579,0.12256635,-9.817605,6249,0,32,1,1
956290358,0.0003917106,-0.0012991457,-0.049596008,5073,0,0.53374916,0.07859782,-9.805905,5073,0,32,1,1
956299180,-0.0007533701,-0.00022168733,-0.028330518,8822,0,0.61814696,0.21661954,-9.803019,7526,0,32,1,1
956304222,-0.00027596476,-0.000100248966,0.029226327,5042,0,0.4761374,0.2660167,-9.827895,6338,0,32,1,1
956314347,-0.0017399674,0.0029494276,0.048476137,4788,0,0.60242873,0.2330066,-9.836298,4788,0,32,1,1
956319415,-0.0050851163,-0.002605579,0.029091148,5068,0,0.5479848,0.11746845,-9.809206,5068,0,32,1,1
956324447,-0.0019625656,-0.00031446875,0.007004532,5032,0,0.52684253,0.11461286,-9.714909,5032,0,32,1,1
956329540,-0.0073631136,0.0005113611,0.007365507,5093,0,0.5404295,0.053718094,-9.81423,5093,0,32,1,1
956340925,-0.0024204985,0.0034237537,-0.01277662,6388,0,0.5881404,0.21367517,-9.860967,6388,0,32,1,1
956345967,3.8898157e-05,0.002528268,0.01705078,5042,0,0.5026032,0.2484036,-9.84805,5042,0,32,1,1
956356009,0.0040725237,0.0012178933,0.033805173,10042,0,0.5800131,0.082448974,-9.882167,10042,0,32,1,1
956361099,-9.53359e-05,-0.0011081615,-0.013883887,5090,0,0.61500144,0.028498443,-9.809954,5090,0,32,1,1
956366250,0.00029676443,-4.2974174e-05,-0.025783064,5151,0,0.5766261,0.012694563,-9.781753,5151,0,32,1,1
956371189,0.0007161725,-0.0013909014,-0.026200209,4939,0,0.5481301,0.15064307,-9.816661,4939,0,32,1,1
956380058,0.0014677723,0.0033127784,0.010194996,8869,0,0.46763495,0.32427287,-9.803095,7589,0,32,1,1
956385249,-0.00037037395,0.0014050622,0.009707426,5191,0,0.50286895,0.17557684,-9.804779,6471,0,32,1,1
