timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
956251128,956249927,0,nan,nan,-0.28206962,-0.32215405,-0.13552243,-0.27849692,-0.32491705,-0.13116442,-0.00027246663,0.00048174267,-0.00027268936,0.00019204963,-1.10827386e-07,-1.1289725e-05,0.00077675283,-0.011749846,0.0050235055,0.0020164887,1.5016645,1.5455221,nan,0.10012325,0.004835122,0.0033765077,0.028447283,0.019531015,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
956261937,956259432,0,nan,nan,-0.2820764,-0.3221566,-0.13551444,-0.27849692,-0.32491705,-0.13116442,-0.00031154987,0.00044843002,-0.0002404882,0.00022497807,-1.10827386e-07,-1.1289725e-05,0.00077675283,-0.00022881202,-0.0055656787,0.0024077583,1.5016601,1.5455221,nan,0.10011793,0.0047726785,0.0033337288,0.02831173,0.01940635,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
956347180,956345967,0,nan,nan,-0.282145,-0.322174,-0.13546532,-0.27849692,-0.32491705,-0.13116442,-0.0014884233,4.5777586e-05,-8.141594e-05,0.00038522066,-1.10827386e-07,-1.1289725e-05,0.00077675283,-0.10349039,-0.044097994,-0.030994827,1.5018523,1.5455221,nan,0.10008337,0.005446177,0.003793072,0.029620185,0.020265676,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
956451216,956444582,0,nan,nan,-0.28217983,-0.32218894,-0.13547234,-0.27849692,-0.32491705,-0.13116442,0.0010068122,0.00094342453,-0.00075789884,-0.0002997537,-1.10827386e-07,-1.1289725e-05,0.00077675283,-0.039787523,0.039857786,0.0031822599,1.5032895,1.5455221,nan,0.10008376,0.005061897,0.0035333405,0.028581144,0.019520203,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
956543123,956541750,0,nan,nan,-0.28191376,-0.32167688,-0.135464,-0.27849692,-0.32491705,-0.13116442,0.0068228245,0.018202826,0.0043788557,0.0048200916,-1.10827386e-07,-1.1289725e-05,0.00077675283,0.1071628,-0.14236505,-0.24104166,1.5055803,1.5455221,nan,0.10000276,0.0052417503,0.0036502078,0.02946514,0.02009457,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
956648222,956646573,0,nan,nan,-0.28151554,-0.32043236,-0.1353407,-0.27849692,-0.32491705,-0.13116442,-0.001256907,0.0049534873,2.7433762e-05,0.00044498759,-1.10827386e-07,-1.1289725e-05,0.00077675283,0.14353189,-0.03239779,-0.21276563,1.5003046,1.5455221,nan,0.1,0.0052275355,0.0036398233,0.029257426,0.020046515,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
956746627,956745159,0,nan,nan,-0.28171453,-0.32034072,-0.13543268,-0.27849692,-0.32491705,-0.13116442,0.0005632097,-0.001506976,-0.0022456057,-0.0019042841,-1.10827386e-07,-1.1289725e-05,0.00077675283,0.26870432,-0.05230109,-0.113328524,1.5010219,1.5455221,nan,0.1,0.0052758027,0.0036720382,0.029496776,0.02020434,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
956836579,956834815,0,nan,nan,-0.28192028,-0.3205111,-0.13578862,-0.27849692,-0.32491705,-0.13116442,-0.0063706706,-0.00390349,-0.004770064,-0.0044865743,-1.10827386e-07,-1.1289725e-05,0.00077675283,0.026448965,0.037682097,-0.08718152,1.5000921,1.5455221,nan,0.10010595,0.00484944,0.0033845354,0.02835813,0.019515278,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
956955348,956953596,0,nan,nan,-0.2824563,-0.32098293,-0.13663116,-0.27849692,-0.32491705,-0.13116442,-0.0028661122,-0.0018045283,-0.00970121,-0.009395047,-1.10827386e-07,-1.1289725e-05,0.00077675283,0.1652668,-0.371147,-0.04557967,1.5023828,1.5455221,nan,0.100534506,0.0051683187,0.0036026288,0.029237945,0.020004326,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
957038725,957036951,0,nan,nan,-0.28265435,-0.32105243,-0.1374486,-0.27849692,-0.32491705,-0.13116442,-0.0014266918,0.00034068685,-0.014907812,-0.014435831,-1.10827386e-07,-1.1289725e-05,0.00077675283,-0.038556017,0.010713692,-0.16696984,1.5020245,1.5455221,nan,0.1011597,0.0048458665,0.0033822928,0.028396465,0.019446364,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
