timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode
598356988,1,0,1,0,0,0,0
598857197,1,0,1,0,0,0,0
599361920,1,0,1,0,0,0,0
599863177,1,0,1,0,0,0,0
600374457,1,0,1,0,0,0,0
600884526,1,0,1,0,0,0,0
601391637,1,0,1,0,0,0,0
601903457,1,0,1,0,0,0,0
602411282,1,0,1,0,0,0,0
602918798,1,0,1,0,0,0,0
603427204,1,0,1,0,0,0,0
603935816,1,0,1,0,0,0,0
604437679,1,0,1,0,0,0,0
604944072,1,0,1,0,0,0,0
605450796,1,0,1,0,0,0,0
605825721,1,0,1,0,0,0,0
606330096,1,0,1,0,0,0,0
606837221,1,0,1,0,0,0,0
607340297,1,0,1,0,0,0,0
607847273,1,0,1,0,0,0,0
608356474,1,0,1,0,0,0,0
608866059,1,0,1,0,0,0,0
609380839,1,0,1,0,0,0,0
609888214,1,0,1,0,0,0,0
610389852,1,0,1,0,0,0,0
610896559,1,0,1,0,0,0,0
611402939,1,0,1,0,0,0,0
611906937,1,0,1,0,0,0,0
612417912,1,0,1,0,0,0,0
612926515,1,0,1,0,0,0,0
613429769,1,0,1,0,0,0,0
613932426,1,0,1,0,0,0,0
614433830,1,0,1,0,0,0,0
614942874,1,0,1,0,0,0,0
615450067,1,0,1,0,0,0,0
615955767,1,0,1,0,0,0,0
616457857,1,0,1,0,0,0,0
616968614,1,0,1,0,0,0,0
617475914,1,0,1,0,0,0,0
617984177,1,0,1,0,0,0,0
618490470,1,0,1,0,0,0,0
618999885,1,0,1,0,0,0,0
619509797,1,0,1,0,0,0,0
620021770,1,0,1,0,0,0,0
620531044,1,0,1,0,0,0,0
621041294,1,0,1,0,0,0,0
621542445,1,0,1,0,0,0,0
622054947,1,0,1,0,0,0,0
622555918,1,0,1,0,0,0,0
623069712,1,0,1,0,0,0,0
623579559,1,0,1,0,0,0,0
624082697,1,0,1,0,0,0,0
624583846,1,0,1,0,0,0,0
625094004,1,0,1,0,0,0,0
625599246,1,0,1,0,0,0,0
626105344,1,0,1,0,0,0,0
626606685,1,0,1,0,0,0,0
627120101,1,0,1,0,0,0,0
627623342,1,0,1,0,0,0,0
628127030,1,0,1,0,0,0,0
628630729,1,0,1,0,0,0,0
629143325,1,0,1,0,0,0,0
629644587,1,0,1,0,0,0,0
630159833,1,0,1,0,0,0,0
630672661,1,0,1,0,0,0,0
631179189,1,0,1,0,0,0,0
631686035,1,0,1,0,0,0,0
632193363,1,0,1,0,0,0,0
632706558,1,0,1,0,0,0,0
633213202,1,0,1,0,0,0,0
633724055,1,0,1,0,0,0,0
634234468,1,0,1,0,0,0,0
634744115,1,0,1,0,0,0,0
635260314,1,0,1,0,0,0,0
635763534,1,0,1,0,0,0,0
636264808,1,0,1,0,0,0,0
636776140,1,0,1,0,0,0,0
637285728,1,0,1,0,0,0,0
637788288,1,0,1,0,0,0,0
638300166,1,0,1,0,0,0,0
638808854,1,0,1,0,0,0,0
639317133,1,0,1,0,0,0,0
639827073,1,0,1,0,0,0,0
640330299,1,0,1,0,0,0,0
640835764,1,0,1,0,0,0,0
641343116,1,0,1,0,0,0,0
641848332,1,0,1,0,0,0,0
642354702,1,0,1,0,0,0,0
642864965,1,0,1,0,0,0,0
643373052,1,0,1,0,0,0,0
643884202,1,0,1,0,0,0,0
644387650,1,0,1,0,0,0,0
644903118,1,0,1,0,0,0,0
645408143,1,0,1,0,0,0,0
645909849,1,0,1,0,0,0,0
646418226,1,0,1,0,0,0,0
646833797,1,0,1,0,0,0,0
647339161,1,0,1,0,0,0,0
647845018,1,0,1,0,0,0,0
648351298,1,0,1,0,0,0,0
648852240,1,0,1,0,0,0,0
649371113,1,0,1,0,0,0,0
649878307,1,0,1,0,0,0,0
650385395,1,0,1,0,0,0,0
650887690,1,0,1,0,0,0,0
651395380,1,0,1,0,0,0,0
651543715,0,0,1,0,0,0,0
651563162,0,0,1,0,0,0,0
652063317,0,0,1,0,0,0,0
