timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
598357021,1,1,1,0,0,1,1,0,1,1,1,1,0
598857226,1,1,1,0,0,1,1,0,1,1,1,1,0
599361982,1,1,1,0,0,1,1,0,1,1,1,1,0
599863212,1,1,1,0,0,1,1,0,1,1,1,1,0
600374489,1,1,1,0,0,1,1,0,1,1,1,1,0
600884556,1,1,1,0,0,1,1,0,1,1,1,1,0
601391683,1,1,1,0,0,1,1,0,1,1,1,1,0
601903756,1,1,1,0,0,1,1,0,1,1,1,1,0
602411346,1,1,1,0,0,1,1,0,1,1,1,1,0
602918826,1,1,1,0,0,1,1,0,1,1,1,1,0
603427567,1,1,1,0,0,1,1,0,1,1,1,1,0
603935850,1,1,1,0,0,1,1,0,1,1,1,1,0
604437713,1,1,1,0,0,1,1,0,1,1,1,1,0
604944115,1,1,1,0,0,1,1,0,1,1,1,1,0
605450827,1,1,1,0,0,1,1,0,1,1,1,1,0
605825762,1,0,0,0,1,0,0,0,0,0,0,0,0
606330124,1,0,0,0,1,0,0,0,0,0,0,0,0
606837554,1,0,0,0,1,0,0,0,0,0,0,0,0
607340329,1,0,0,0,1,0,0,0,0,0,0,0,0
607847316,1,0,0,0,1,0,0,0,0,0,0,0,0
608356512,1,0,0,0,1,0,0,0,0,0,0,0,0
608866189,1,0,0,0,1,0,0,0,0,0,0,0,0
609380871,1,0,0,0,1,0,0,0,0,0,0,0,0
609888274,1,0,0,0,1,0,0,0,0,0,0,0,0
610389887,1,0,0,0,1,0,0,0,0,0,0,0,0
610896591,1,0,0,0,1,0,0,0,0,0,0,0,0
611402971,1,0,0,0,1,0,0,0,0,0,0,0,0
611907181,1,0,0,0,1,0,0,0,0,0,0,0,0
612417948,1,0,0,0,1,0,0,0,0,0,0,0,0
612926688,1,0,0,0,1,0,0,0,0,0,0,0,0
613429807,1,0,0,0,1,0,0,0,0,0,0,0,0
613932455,1,0,0,0,1,0,0,0,0,0,0,0,0
614433861,1,0,0,0,1,0,0,0,0,0,0,0,0
614942938,1,0,0,0,1,0,0,0,0,0,0,0,0
615450132,1,0,0,0,1,0,0,0,0,0,0,0,0
615955799,1,0,0,0,1,0,0,0,0,0,0,0,0
616457900,1,0,0,0,1,0,0,0,0,0,0,0,0
616968654,1,0,0,0,1,0,0,0,0,0,0,0,0
617475943,1,0,0,0,1,0,0,0,0,0,0,0,0
617984208,1,0,0,0,1,0,0,0,0,0,0,0,0
618490519,1,0,0,0,1,0,0,0,0,0,0,0,0
618999933,1,0,0,0,1,0,0,0,0,0,0,0,0
619509843,1,0,0,0,1,0,0,0,0,0,0,0,0
620021807,1,0,0,0,1,0,0,0,0,0,0,0,0
620531094,1,0,0,0,1,0,0,0,0,0,0,0,0
621041355,1,0,0,0,1,0,0,0,0,0,0,0,0
621542475,1,0,0,0,1,0,0,0,0,0,0,0,0
622054979,1,0,0,0,1,0,0,0,0,0,0,0,0
622555983,1,0,0,0,1,0,0,0,0,0,0,0,0
623069759,1,0,0,0,1,0,0,0,0,0,0,0,0
623579593,1,0,0,0,1,0,0,0,0,0,0,0,0
624082730,1,0,0,0,1,0,0,0,0,0,0,0,0
624583880,1,0,0,0,1,0,0,0,0,0,0,0,0
625094042,1,0,0,0,1,0,0,0,0,0,0,0,0
625599294,1,0,0,0,1,0,0,0,0,0,0,0,0
626105443,1,0,0,0,1,0,0,0,0,0,0,0,0
626606727,1,0,0,0,1,0,0,0,0,0,0,0,0
627120380,1,0,0,0,1,0,0,0,0,0,0,0,0
627623370,1,0,0,0,1,0,0,0,0,0,0,0,0
628127083,1,0,0,0,1,0,0,0,0,0,0,0,0
628631117,1,0,0,0,1,0,0,0,0,0,0,0,0
629143357,1,0,0,0,1,0,0,0,0,0,0,0,0
629644620,1,0,0,0,1,0,0,0,0,0,0,0,0
630159865,1,0,0,0,1,0,0,0,0,0,0,0,0
