timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_snr_x[0],peak_snr_x[1],peak_snr_x[2],peak_snr_y[0],peak_snr_y[1],peak_snr_y[2],peak_snr_z[0],peak_snr_z[1],peak_snr_z[2]
986815586,986813727,2621450,9212.955,17.994053,45.719357,nan,nan,80.23902,nan,nan,31.238394,nan,nan,4.288384,nan,nan,4.6884785,nan,nan,5.701725,nan,nan
987305311,987303474,2621450,9212.951,17.994045,45.719357,nan,nan,80.23902,nan,nan,31.238394,nan,nan,4.288384,nan,nan,4.016432,nan,nan,5.701725,nan,nan
987482461,987480642,2621450,9212.942,17.994028,45.719357,nan,nan,80.23902,nan,nan,31.238394,nan,nan,4.373248,nan,nan,4.016432,nan,nan,5.701725,nan,nan
987914936,987914405,2621450,9212.946,17.994036,45.719357,nan,nan,80.238945,nan,nan,31.238394,nan,nan,4.373248,nan,nan,3.7230058,nan,nan,5.701725,nan,nan
988597399,988595625,2621450,9212.953,17.99405,45.719357,nan,nan,80.238945,nan,nan,31.238394,nan,nan,4.373248,nan,nan,3.8539948,nan,nan,5.701725,nan,nan
989118221,989116492,3670026,7996.7124,15.618579,46.855736,nan,nan,80.238945,nan,nan,31.238394,nan,nan,5.4304447,nan,nan,3.8539948,nan,nan,5.701725,nan,nan
989180742,989180268,3670026,7996.713,15.61858,46.85574,nan,nan,80.238945,nan,nan,31.238394,nan,nan,5.308518,nan,nan,3.8539948,nan,nan,5.701725,nan,nan
989228645,989227787,3670026,7996.713,15.61858,46.85574,46.856354,nan,80.238945,nan,nan,31.238394,nan,nan,5.308518,5.1193743,nan,3.8539948,nan,nan,5.701725,nan,nan
989325777,989324077,3670026,7996.7144,15.618583,46.85574,46.856354,nan,80.238945,nan,nan,31.238394,nan,nan,4.940829,5.1193743,nan,3.8539948,nan,nan,5.701725,nan,nan
989521048,989519155,3670026,7996.7163,15.618587,46.85574,46.856354,nan,80.238945,nan,nan,31.238394,nan,nan,4.940829,5.1193743,nan,3.6508584,nan,nan,5.701725,nan,nan
989583952,989582931,3670026,7996.7163,15.618587,46.85574,46.856354,nan,80.238945,nan,nan,31.238394,nan,nan,4.940829,5.1193743,nan,6.058993,nan,nan,5.701725,nan,nan
989708792,989707982,3670026,7996.718,15.618589,46.85574,nan,nan,80.238945,nan,nan,31.238394,nan,nan,6.860745,nan,nan,6.058993,nan,nan,5.701725,nan,nan
989773502,989771758,3670026,7996.718,15.618589,46.85574,nan,nan,80.238945,nan,nan,31.238394,nan,nan,5.6486344,nan,nan,6.058993,nan,nan,5.701725,nan,nan
989823498,989823029,3670026,7996.718,15.618589,46.85574,nan,nan,80.238945,nan,nan,31.238394,nan,nan,5.6486344,nan,nan,5.915013,nan,nan,5.701725,nan,nan
989853505,989851790,3670026,7996.718,15.618589,46.855747,nan,nan,80.238945,nan,nan,31.238394,nan,nan,5.7890625,nan,nan,5.915013,nan,nan,5.701725,nan,nan
989886015,989884303,3670026,7996.719,15.618592,46.855766,nan,nan,80.238945,nan,nan,31.238394,nan,nan,5.378007,nan,nan,5.915013,nan,nan,5.701725,nan,nan
989903550,989903061,3670026,7996.719,15.618592,46.855766,nan,nan,78.092964,nan,nan,31.238394,nan,nan,5.2045,nan,nan,6.0914297,nan,nan,5.701725,nan,nan
990014091,990011855,3670026,7996.719,15.618592,46.855766,nan,nan,78.092964,nan,nan,31.238394,nan,nan,5.638482,nan,nan,6.0914297,nan,nan,5.701725,nan,nan
990111100,990110645,3670026,7996.7207,15.618595,46.855766,nan,nan,78.092964,nan,nan,31.238394,nan,nan,5.638482,nan,nan,5.906435,nan,nan,5.701725,nan,nan
990173661,990171919,3670026,7996.7207,15.618595,46.855778,nan,nan,78.092964,nan,nan,31.238394,nan,nan,5.5279083,nan,nan,5.906435,nan,nan,5.701725,nan,nan
990286202,990284465,3670026,7996.722,15.618598,46.855778,nan,nan,78.092964,nan,nan,31.238394,nan,nan,5.5286694,nan,nan,5.906435,nan,nan,5.701725,nan,nan
990366335,990364497,3670026,7996.722,15.618598,46.855778,nan,nan,78.092964,nan,nan,31.238394,nan,nan,5.6702366,nan,nan,5.906435,nan,nan,5.701725,nan,nan
990381210,990380754,3670026,7996.722,15.618598,46.855785,nan,nan,78.092964,nan,nan,31.238394,nan,nan,6.634722,nan,nan,5.906435,nan,nan,5.701725,nan,nan
990446233,990444529,3670026,7996.723,15.6186,46.855793,nan,nan,78.092964,nan,nan,31.238394,nan,nan,5.30785,nan,nan,5.906435,nan,nan,5.701725,nan,nan
990526899,990524562,3670026,7996.7246,15.618603,46.855793,nan,nan,78.092964,nan,nan,31.238394,nan,nan,5.763411,nan,nan,5.906435,nan,nan,5.701725,nan,nan
990974049,990972241,3670026,7996.728,15.618609,46.855793,nan,nan,78.092964,nan,nan,31.238394,nan,nan,6.942724,nan,nan,5.906435,nan,nan,5.701725,nan,nan
991089078,991087287,3670026,7996.729,15.618611,46.855793,nan,nan,78.092964,nan,nan,31.238394,nan,nan,6.942724,nan,nan,6.0267806,nan,nan,5.701725,nan,nan
991103998,991103544,3670026,7996.73,15.618613,46.855793,nan,nan,78.092964,nan,nan,31.238394,nan,nan,6.942724,nan,nan,6.3783836,nan,nan,5.701725,nan,nan
991199091,991197331,3670026,7996.731,15.618615,46.8558,nan,nan,78.092964,nan,nan,31.238394,nan,nan,5.5826025,nan,nan,6.3783836,nan,nan,5.701725,nan,nan
991214238,991212337,3670026,7996.731,15.618615,46.85581,nan,nan,78.092964,nan,nan,31.238394,nan,nan,6.858639,nan,nan,6.3783836,nan,nan,5.701725,nan,nan
991264084,991263608,3670026,7996.731,15.618615,46.85581,nan,nan,78.09297,nan,nan,31.238394,nan,nan,6.858639,nan,nan,6.3665133,nan,nan,5.701725,nan,nan
991326590,991324882,3670026,7996.732,15.618617,46.855827,nan,nan,78.09297,nan,nan,31.238394,nan,nan,5.737905,nan,nan,6.3665133,nan,nan,5.701725,nan,nan
991407047,991404915,3670026,7996.733,15.618619,46.855846,nan,nan,78.09297,nan,nan,31.238394,nan,nan,6.891862,nan,nan,6.3665133,nan,nan,5.701725,nan,nan
991439155,991437427,3670026,7996.733,15.618619,46.855846,nan,nan,78.09297,nan,nan,31.238394,nan,nan,5.5948424,nan,nan,6.3665133,nan,nan,5.701725,nan,nan
991489190,991487447,3670026,7996.733,15.618619,46.855846,nan,nan,78.093056,nan,nan,31.238394,nan,nan,5.5948424,nan,nan,4.444155,nan,nan,5.701725,nan,nan
991504187,991503704,3670026,7996.734,15.618621,46.85585,nan,nan,78.09306,nan,nan,31.238394,nan,nan,6.900277,nan,nan,4.9515753,nan,nan,5.701725,nan,nan
991534265,991532465,3670026,7996.734,15.618621,46.855858,nan,nan,78.09306,nan,nan,31.238394,nan,nan,6.7738867,nan,nan,4.9515753,nan,nan,5.701725,nan,nan
991599297,991597491,3670026,7996.734,15.618621,47.486023,nan,nan,78.09306,nan,nan,31.238394,nan,nan,7.6994286,nan,nan,4.9515753,nan,nan,5.701725,nan,nan
991614325,991612497,3670026,7996.735,15.618623,47.641396,nan,nan,78.09306,nan,nan,31.238394,nan,nan,7.2094274,nan,nan,4.9515753,nan,nan,5.701725,nan,nan
991709449,991708785,3670026,7996.736,15.618625,47.641403,nan,nan,78.09306,nan,nan,31.238394,nan,nan,6.2295365,nan,nan,4.9515753,nan,nan,5.701725,nan,nan
991746842,991746300,3670026,7996.736,15.618625,48.70741,nan,nan,78.09306,nan,nan,31.238394,nan,nan,6.7427187,nan,nan,4.9515753,nan,nan,6.802883,nan,nan
991809302,991807575,3670026,7996.7363,15.618626,48.70741,nan,nan,78.09308,nan,nan,31.238394,nan,nan,6.7427187,nan,nan,7.157021,nan,nan,6.802883,nan,nan
991824286,991823831,3670026,7996.7363,15.618626,48.70741,nan,nan,78.093094,nan,nan,31.238394,nan,nan,6.7427187,nan,nan,8.000205,nan,nan,6.802883,nan,nan
991904329,991903863,3670026,7996.7363,15.618626,48.70741,nan,nan,78.0931,nan,nan,31.238394,nan,nan,6.7427187,nan,nan,8.755341,nan,nan,6.802883,nan,nan
991953494,991951382,3670026,7996.7383,15.618629,48.70741,nan,nan,79.26198,nan,nan,31.238394,nan,nan,6.7427187,nan,nan,11.598338,nan,nan,6.802883,nan,nan
992000625,992000151,3670026,7996.7383,15.618629,48.70741,nan,nan,81.15205,nan,nan,31.238394,nan,nan,5.6710453,nan,nan,12.147203,nan,nan,6.802883,nan,nan
992048271,992047670,3670026,7996.7393,15.618631,48.70741,nan,nan,81.60815,nan,nan,31.238394,nan,nan,5.6710453,nan,nan,10.291505,nan,nan,6.802883,nan,nan
992111902,992111445,3670026,7996.7407,15.618634,48.70741,nan,nan,81.60815,nan,nan,31.238394,nan,nan,5.6710453,nan,nan,8.374644,nan,nan,6.802883,nan,nan
992159808,992157713,3670026,7996.7407,15.618634,48.59806,46.856354,nan,81.41318,nan,nan,31.238394,nan,nan,5.3836718,10.0078,nan,5.808442,nan,nan,6.802883,nan,nan
992189477,992188975,3670026,7996.7407,15.618634,48.8688,46.85635,nan,81.41318,nan,nan,31.238392,nan,nan,12.251144,6.9903708,nan,6.327126,nan,nan,6.808793,nan,nan
992254505,992252751,3670026,7996.7417,15.618636,108.360146,46.85635,nan,81.41318,nan,nan,35.08309,nan,nan,10.6958685,6.9903708,nan,6.327126,nan,nan,10.649596,nan,nan
992274570,992274009,3670026,7996.7417,15.618636,108.360146,46.85635,nan,81.41318,nan,nan,120.92096,nan,nan,10.6958685,6.9903708,nan,6.327126,nan,nan,10.073486,nan,nan
992354606,992354041,3670026,7996.743,15.618639,108.360146,46.85635,nan,81.41318,nan,nan,119.05875,nan,nan,10.6958685,6.9903708,nan,6.327126,nan,nan,6.009409,nan,nan
