timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
987553902,987553876,589834,0.064500004,-0.108,0.80550003,nan,0
988554012,988553987,589834,0.054,-0.12900001,0.8205,nan,0
989553800,989553776,589834,0.1095,-0.15,0.81450003,nan,0
990553799,990553774,589834,0.078,-0.144,0.8385,nan,0
991554140,991554115,589834,0.1245,-0.1275,0.84000003,nan,0
992553800,992553774,589834,0.1725,-0.144,0.9435,nan,0
993553802,993553777,589834,0.231,-0.1185,0.99,nan,0
994553942,994553915,589834,0.294,-0.1395,1.017,nan,0
995553801,995553776,589834,0.2985,-0.1155,0.9555,nan,0
996553799,996553774,589834,0.243,-0.117,1.02,nan,0
997554022,997553998,589834,0.276,-0.087,1.0485001,nan,0
998554023,998553998,589834,0.291,-0.159,0.9975,nan,0
999553799,999553774,589834,0.246,-0.132,1.0125,nan,0
1000553798,1000553774,589834,0.2775,-0.126,1.0320001,nan,0
1001553800,1001553775,589834,0.2625,-0.1515,1.0185,nan,0
1002553856,1002553831,589834,0.252,-0.126,0.99,nan,0
1003553801,1003553774,589834,0.276,-0.117,1.0065,nan,0
1004553969,1004553945,589834,0.294,-0.1095,1.017,nan,0
1005553798,1005553774,589834,0.252,-0.12900001,1.008,nan,0
1006553798,1006553774,589834,0.261,-0.16950001,1.0305,nan,0
1007553832,1007553806,589834,0.2625,-0.144,1.065,nan,0
1008553798,1008553774,589834,0.249,-0.144,1.0215,nan,0
1009553800,1009553775,589834,0.267,-0.1515,1.104,nan,0
1010553798,1010553774,589834,0.25800002,-0.1395,1.056,nan,0
1011553801,1011553775,589834,0.273,-0.1335,1.071,nan,0
1012553801,1012553774,589834,0.2325,-0.1245,1.0455,nan,0
1013553799,1013553774,589834,0.291,-0.1155,1.0755,nan,0
1014553867,1014553842,589834,0.249,-0.12900001,1.0185,nan,0
1015554019,1015553992,589834,0.273,-0.144,1.0395,nan,0
1016553801,1016553776,589834,0.2445,-0.1335,1.071,nan,0
1017553801,1017553775,589834,0.2415,-0.1005,1.05,nan,0
1018553798,1018553774,589834,0.294,-0.0945,1.0245,nan,0
1019553799,1019553775,589834,0.288,-0.066,1.0215,nan,0
1020553799,1020553774,589834,0.3,-0.105000004,1.0125,nan,0
1021553801,1021553776,589834,0.297,-0.1245,0.9915,nan,0
1022553829,1022553804,589834,0.279,-0.105000004,1.0305,nan,0
1023553919,1023553894,589834,0.2895,-0.0945,1.035,nan,0
1024553883,1024553859,589834,0.315,-0.09,1.0515,nan,0
1025553894,1025553869,589834,0.303,-0.1155,1.05,nan,0
1026553926,1026553901,589834,0.279,-0.117,1.0485001,nan,0
1027553993,1027553968,589834,0.2505,-0.0945,1.02,nan,0
1028553797,1028553774,589834,0.2955,-0.1215,1.0755,nan,0
1029553798,1029553774,589834,0.2865,-0.102,1.0665001,nan,0
1030553798,1030553774,589834,0.276,-0.120000005,1.038,nan,0
1031553800,1031553775,589834,0.273,-0.1185,1.005,nan,0
1032553800,1032553775,589834,0.2985,-0.144,1.0395,nan,0
1033553799,1033553775,589834,0.288,-0.1215,1.044,nan,0
1034553798,1034553774,589834,0.291,-0.1035,1.0215,nan,0
1035553798,1035553774,589834,0.294,-0.1095,1.059,nan,0
1036553803,1036553776,589834,0.31350002,-0.1005,1.065,nan,0
1037553803,1037553775,589834,0.2985,-0.0855,1.029,nan,0
1038553800,1038553775,589834,0.2775,-0.12900001,1.0320001,nan,0
1039553811,1039553786,589834,0.273,-0.1485,1.026,nan,0
1040553800,1040553775,589834,0.2625,-0.126,1.0215,nan,0
1041553917,1041553893,589834,0.25800002,-0.120000005,1.041,nan,0
1042553855,1042553831,589834,0.27,-0.093,1.0815,nan,0
1043553798,1043553774,589834,0.288,-0.078,1.086,nan,0
1044553798,1044553774,589834,0.249,-0.111,1.065,nan,0
1045553800,1045553775,589834,0.2865,-0.075,1.0455,nan,0
1046553816,1046553775,589834,0.264,-0.064500004,1.0455,nan,0
1047553799,1047553774,589834,0.279,-0.09,1.077,nan,0
1048553799,1048553774,589834,0.291,-0.12900001,1.086,nan,0
1049553801,1049553775,589834,0.321,-0.144,1.0155,nan,0
1050553835,1050553810,589834,0.25800002,-0.064500004,1.0125,nan,0
1051553800,1051553775,589834,0.3045,-0.09,1.098,nan,0
1052553799,1052553775,589834,0.3315,-0.1005,1.0320001,nan,0
1053553861,1053553837,589834,0.303,-0.096,1.0185,nan,0
1054553798,1054553774,589834,0.264,-0.054,1.0305,nan,0
1055553801,1055553776,589834,0.3165,-0.063,1.104,nan,0
1056553802,1056553776,589834,0.297,-0.1095,1.0095,nan,0
1057553993,1057553968,589834,0.2775,-0.093,1.0575,nan,0
1058553944,1058553920,589834,0.2685,-0.087,1.098,nan,0
1059553885,1059553861,589834,0.285,-0.1005,1.0605,nan,0
1060553828,1060553801,589834,0.2415,-0.126,1.0815,nan,0
1061554012,1061553986,589834,0.2595,-0.1365,1.1145,nan,0
1062553930,1062553906,589834,0.246,-0.120000005,1.0905,nan,0
1063553813,1063553789,589834,0.25800002,-0.097500004,1.1085,nan,0
1064553798,1064553774,589834,0.2595,-0.1155,1.0935,nan,0
1065553798,1065553774,589834,0.2265,-0.111,1.1175001,nan,0
1066553800,1066553775,589834,0.2175,-0.105000004,1.0875,nan,0
1067553801,1067553775,589834,0.22500001,-0.0945,1.0875,nan,0
1068553800,1068553774,589834,0.2445,-0.093,1.089,nan,0
1069553956,1069553932,589834,0.3825,-0.201,1.2870001,nan,0
1070553801,1070553774,589834,0.249,-0.1185,1.089,nan,0
1071553798,1071553774,589834,0.249,-0.12900001,1.05,nan,0
1072553836,1072553813,589834,0.2685,-0.102,1.0485001,nan,0
1073553829,1073553804,589834,0.22500001,-0.120000005,1.056,nan,0
1074554013,1074553987,589834,0.315,-0.1095,1.08,nan,0
1075553926,1075553901,589834,0.23550001,-0.132,1.041,nan,0
1076554069,1076554044,589834,0.2775,-0.1035,1.044,nan,0
1077553963,1077553938,589834,0.2805,-0.0735,1.068,nan,0
1078553803,1078553775,589834,0.2625,-0.141,1.086,nan,0
1079553801,1079553774,589834,0.303,-0.078,1.0995001,nan,0
1080553801,1080553775,589834,0.2985,-0.0405,1.065,nan,0
1081553801,1081553775,589834,0.297,-0.0795,1.074,nan,0
1082553800,1082553774,589834,0.2955,-0.0585,1.047,nan,0
1083553960,1083553935,589834,0.285,-0.093,1.0815,nan,0
1084553799,1084553774,589834,0.318,-0.120000005,1.1085,nan,0
1085553800,1085553774,589834,0.306,-0.096,1.1145,nan,0
1086553800,1086553775,589834,0.2415,-0.0735,1.047,nan,0
1087554000,1087553975,589834,0.3495,-0.078,1.107,nan,0
1088553891,1088553866,589834,0.2895,-0.087,1.02,nan,0
1089554017,1089553993,589834,0.297,-0.105000004,1.1265,nan,0
1090553901,1090553877,589834,0.27,-0.066,1.107,nan,0
1091553798,1091553774,589834,0.249,-0.1035,1.086,nan,0
1092553799,1092553774,589834,0.267,-0.1035,1.086,nan,0
1093553798,1093553774,589834,0.249,-0.1335,1.104,nan,0
1094553800,1094553774,589834,0.31350002,-0.0465,1.1055,nan,0
1095553801,1095553775,589834,0.2625,-0.1155,1.071,nan,0
1096553830,1096553805,589834,0.2895,-0.132,1.056,nan,0
1097553803,1097553778,589834,0.2955,-0.1215,1.104,nan,0
1098554002,1098553976,589834,0.2805,-0.096,1.05,nan,0
1099553877,1099553853,589834,0.2715,-0.09,1.074,nan,0
1100553798,1100553774,589834,0.2985,-0.1035,1.0785,nan,0
1101553800,1101553774,589834,0.387,0.105000004,1.059,nan,0
1102553905,1102553881,589834,0.3735,0.1275,1.095,nan,0
1103553798,1103553774,589834,0.4065,0.1635,1.128,nan,0
1104553799,1104553774,589834,0.3915,0.1425,1.113,nan,0
1105553799,1105553774,589834,0.384,0.147,1.0875,nan,0
1106553799,1106553774,589834,0.396,0.144,1.05,nan,0
1107553799,1107553774,589834,0.3825,0.144,1.0965,nan,0
