timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,open_drone_id_system_healthy,parachute_system_healthy
987737064,1200.0,0.3020821,411.11316,0.0,17028,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
988740046,1200.0,0.3020821,731.09174,0.0,17040,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
988994320,1200.0,0.3020821,731.09174,0.0,17046,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990244163,1200.0,0.3020821,576.2484,0.0,17062,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
991504352,1200.0,0.3020821,705.95337,0.0,17087,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
992755137,1200.0,0.3020821,499.47656,0.0,17105,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
993755198,1200.0,0.3020821,459.4578,0.0,17117,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
994015304,1200.0,0.3020821,459.4578,0.0,17120,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
995266137,1200.0,0.3020821,711.99005,0.0,17144,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
996516743,1200.0,0.3020821,463.95636,0.0,17160,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
997776136,1200.0,0.3020821,508.94296,0.0,17185,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
998777233,1200.0,0.3020821,688.4637,0.0,17200,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999027363,1200.0,0.3020821,688.4637,0.0,17203,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000288141,1200.0,0.3020821,446.5606,0.0,17219,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001541243,1200.0,0.3020821,748.7537,0.0,17243,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002792135,1200.0,0.3020821,459.38687,0.0,17261,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003792158,1200.0,0.3020821,404.6124,0.0,17275,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004052187,1200.0,0.3020821,404.6124,0.0,17278,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005305177,1200.0,0.3020821,741.06366,0.0,17301,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006556177,1200.0,0.3020821,553.1641,0.0,17318,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007810159,1200.0,0.3020821,413.02487,0.0,17344,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008813217,1200.0,0.3020821,732.4136,0.0,17357,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
