timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time,source_protocol
987835708,1742911770931698,-1742910783096300,-1742910783096703,614,0
988834512,1742911771930842,-1742910783096512,-1742910783096698,358,0
989836554,1742911772932831,-1742910783096469,-1742910783096693,376,0
990834737,1742911773931109,-1742910783096527,-1742910783096690,304,0
991835532,1742911774931783,-1742910783096475,-1742910783096687,442,0
992836795,1742911775932911,-1742910783096471,-1742910783096686,705,0
993834751,1742911776931152,-1742910783096596,-1742910783096684,385,0
994835166,1742911777931360,-1742910783096499,-1742910783096683,605,0
995833601,1742911778930045,-1742910783096632,-1742910783096683,371,0
996836607,1742911779933096,-1742910783096669,-1742910783096684,348,0
997834480,1742911780931046,-1742910783096710,-1742910783096685,282,0
998836175,1742911781931995,-1742910783096358,-1742910783096687,1073,0
999837207,1742911782933672,-1742910783096692,-1742910783096687,448,0
1000834567,1742911783931177,-1742910783096800,-1742910783096693,321,0
1001836728,1742911784933318,-1742910783096780,-1742910783096698,374,0
1002836762,1742911785933190,-1742910783096761,-1742910783096703,661,0
1003835510,1742911786932111,-1742910783096819,-1742910783096710,407,0
1004836422,1742911787933147,-1742910783096894,-1742910783096716,332,0
1005835875,1742911788932382,-1742910783096841,-1742910783096723,662,0
1006835401,1742911789932197,-1742910783096953,-1742910783096730,308,0
1007836563,1742911790933221,-1742910783096896,-1742910783096738,471,0
1008834534,1742911791931366,-1742910783097056,-1742910783096748,443,0
1009835474,1742911792932368,-1742910783097041,-1742910783096757,288,0
1010833744,1742911793930620,-1742910783097042,-1742910783096767,329,0
1011834475,1742911794931372,-1742910783097062,-1742910783096779,326,0
1012834785,1742911795931489,-1742910783097054,-1742910783096792,694,0
1013835467,1742911796932188,-1742910783097145,-1742910783096806,843,0
1014835503,1742911797932472,-1742910783097178,-1742910783096821,413,0
1015835531,1742911798932531,-1742910783097218,-1742910783096837,426,0
1016834423,1742911799931538,-1742910783097284,-1742910783096854,333,0
1017836570,1742911800933566,-1742910783097238,-1742910783096873,480,0
1018835421,1742911801932623,-1742910783097361,-1742910783096890,313,0
1019836615,1742911802933789,-1742910783097380,-1742910783096909,407,0
1020835616,1742911803932838,-1742910783097488,-1742910783096932,526,0
1021836390,1742911804933775,-1742910783097537,-1742910783096954,299,0
1022834507,1742911805931899,-1742910783097577,-1742910783096976,364,0
1023835729,1742911806932862,-1742910783097455,-1742910783097000,639,0
1024833579,1742911807930980,-1742910783097596,-1742910783097024,385,0
1025835567,1742911808932978,-1742910783097650,-1742910783097052,473,0
1026835535,1742911809933066,-1742910783097730,-1742910783097080,393,0
1027834757,1742911810932324,-1742910783097743,-1742910783097109,346,0
1028835634,1742911811933222,-1742910783097806,-1742910783097137,431,0
1029836544,1742911812934258,-1742910783097892,-1742910783097167,344,0
1030834591,1742911813932172,-1742910783097833,-1742910783097200,497,0
1031835571,1742911814933328,-1742910783097949,-1742910783097232,378,0
1032834479,1742911815932301,-1742910783098019,-1742910783097265,389,0
1033834889,1742911816932724,-1742910783098022,-1742910783097300,364,0
1034834718,1742911817932364,-1742910783097933,-1742910783097336,568,0
1035833953,1742911818931820,-1742910783098086,-1742910783097374,433,0
1036833557,1742911819931605,-1742910783098181,-1742910783097409,261,0
1037835447,1742911820933488,-1742910783098214,-1742910783097447,337,0
1038835526,1742911821933621,-1742910783098255,-1742910783097484,314,0
1039836394,1742911822934555,-1742910783098314,-1742910783097523,301,0
1040833522,1742911823931721,-1742910783098341,-1742910783097563,278,0
1041835445,1742911824933639,-1742910783098373,-1742910783097605,353,0
1042835581,1742911825933840,-1742910783098430,-1742910783097648,330,0
1043837094,1742911826935346,-1742910783098446,-1742910783097692,378,0
1044837318,1742911827934819,-1742910783098106,-1742910783097734,1204,0
1045835891,1742911828934303,-1742910783098582,-1742910783097779,328,0
1046836248,1742911829934258,-1742910783098501,-1742910783097823,976,0
1047834398,1742911830932894,-1742910783098652,-1742910783097869,306,0
1048833574,1742911831932094,-1742910783098691,-1742910783097912,337,0
1049836232,1742911832934167,-1742910783098415,-1742910783097959,955,0
1050835817,1742911833934028,-1742910783098567,-1742910783098003,706,0
1051834435,1742911834933104,-1742910783098830,-1742910783098051,316,0
1052834660,1742911835933249,-1742910783098875,-1742910783098098,568,0
1053834453,1742911836933217,-1742910783098916,-1742910783098148,298,0
1054834538,1742911837933287,-1742910783098958,-1742910783098198,412,0
1055836486,1742911838935352,-1742910783099055,-1742910783098248,372,0
1056835070,1742911839933503,-1742910783098819,-1742910783098296,766,0
1057835372,1742911840934330,-1742910783099099,-1742910783098348,279,0
1058834864,1742911841933451,-1742910783098962,-1742910783098398,744,0
1059835633,1742911842934626,-1742910783099209,-1742910783098451,426,0
1060836100,1742911843934920,-1742910783099269,-1742910783098503,892,0
1061834795,1742911844933883,-1742910783099259,-1742910783098556,337,0
1062835035,1742911845934009,-1742910783099258,-1742910783098608,562,0
