timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
986962549,986962227,-0.0632713,0.42441326,-9.822771
986967802,986967466,-0.06643645,0.43468437,-9.83351
987014665,987014320,-0.08994572,0.46628618,-9.827267
987061598,987061255,-0.119818084,0.45674393,-9.862324
987113739,987113397,-0.118044294,0.48575145,-9.870202
987165749,987165420,-0.12948634,0.43843934,-9.88583
987212652,987212325,-0.10195285,0.4198064,-9.912067
987264789,987264458,-0.08986748,0.42121038,-9.908414
987316846,987316519,-0.06728522,0.44345987,-9.858566
987363820,987363497,-0.05569865,0.4924498,-9.845932
987410636,987410296,-0.13549842,0.43243483,-9.894601
987462769,987462447,-0.10932628,0.41979614,-9.865613
987514834,987514501,-0.1444724,0.44625455,-9.8687
987561709,987561380,-0.094356604,0.44223025,-9.852407
987613986,987613599,-0.02255468,0.4777801,-9.847208
987665967,987665638,-0.055492066,0.44865352,-9.842684
987712816,987712456,-0.09439767,0.4262737,-9.868974
987764899,987764562,-0.11052671,0.43766347,-9.878393
987817035,987816715,-0.11164562,0.42555806,-9.927251
987864018,987863700,-0.089329526,0.44846708,-9.89572
987910820,987910503,-0.07345507,0.47777042,-9.8351345
987962912,987962592,-0.12086058,0.44741836,-9.873051
988015015,988014676,-0.09074586,0.40897837,-9.877483
988061923,988061587,-0.09399112,0.47949252,-9.882788
988114219,988113803,-0.064388424,0.43488625,-9.873285
988166077,988165753,-0.059651785,0.46237797,-9.887856
988213019,988212693,-0.14080884,0.43599674,-9.886093
988265051,988264719,-0.10805089,0.4567663,-9.872359
988317203,988316876,-0.15012158,0.43967348,-9.874438
988364224,988363905,-0.084700644,0.42841703,-9.849072
988410936,988410618,-0.044958025,0.47800487,-9.863443
988463133,988462810,-0.07696962,0.45790002,-9.833678
988515266,988514886,-0.09670138,0.44371834,-9.904974
988562090,988561746,-0.10659262,0.47052625,-9.895114
988614378,988614048,-0.112902634,0.41985452,-9.895734
988666296,988665977,-0.07332382,0.430994,-9.869014
988713130,988712804,-0.04220306,0.42516515,-9.845293
988765250,988764923,-0.046518967,0.4279735,-9.8465805
988812134,988811811,-0.119647026,0.44328,-9.8986635
988864426,988864109,-0.12865552,0.4517526,-9.893729
988916355,988915982,-0.108855285,0.4251046,-9.893429
988963244,988962906,-0.09008661,0.43468523,-9.817916
989015375,989015033,-0.08311951,0.46945277,-9.824777
989066781,989066472,0.11722007,0.25451562,-9.733038
989111894,989111490,0.16211753,0.16776484,-9.810714
989161838,989161510,0.11173631,0.14483738,-9.830515
989216842,989216533,0.11049895,0.17884295,-9.827145
989261867,989261551,0.11320543,0.15675181,-9.794475
989311886,989311571,0.15656328,0.16922408,-9.81285
989362037,989361592,0.14469704,0.18391831,-9.7757845
989411919,989411612,0.1406819,0.20624733,-9.80024
989461955,989461632,0.06835674,0.16668953,-9.814689
989511962,989511652,0.07821909,0.17371505,-9.815562
989566994,989566675,0.102706514,0.15569212,-9.80738
989612071,989611693,0.18395127,0.1411803,-9.750074
989662023,989661713,0.16600071,0.15680142,-9.755538
989717085,989716736,0.15757625,0.15841109,-9.744808
989762072,989761754,0.071341686,0.18443592,-9.842246
989812092,989811774,0.058342643,0.17555141,-9.801332
989862183,989861794,0.13355824,0.18695316,-9.789183
989917153,989916817,0.15701962,0.20478031,-9.786591
989962158,989961835,0.1255498,0.15545161,-9.775722
990012166,990011855,0.10291544,0.12799004,-9.785981
990067211,990066877,0.09965937,0.1521749,-9.808239
990112271,990111895,0.10977082,0.18725413,-9.818807
990162231,990161915,0.13459674,0.18873343,-9.7552395
990212260,990211936,0.17489144,0.17530803,-9.788543
990267276,990266958,0.18908818,0.17251125,-9.776516
990312306,990311976,0.08529621,0.1623444,-9.796102
990362399,990361996,0.09624707,0.13522123,-9.790725
990417334,990417018,0.09150786,0.14142977,-9.776745
990462360,990462036,0.15652247,0.16382226,-9.790488
990512371,990512057,0.14660437,0.20508762,-9.788047
990562401,990562077,0.116118416,0.1911923,-9.81474
990612452,990612097,0.08666141,0.15460394,-9.785065
990662435,990662117,0.12284781,0.17808172,-9.785459
990712461,990712137,0.13273267,0.13904975,-9.800796
990767476,990767159,0.13189492,0.13735671,-9.765711
990812524,990812177,0.12921132,0.1721209,-9.803994
990862542,990862197,0.09838727,0.18803442,-9.775838
990912527,990912217,0.10327864,0.17382576,-9.811183
990962733,990962237,0.15475845,0.17047557,-9.765012
991012583,991012257,0.1600284,0.17258352,-9.767928
991062606,991062277,0.114824936,0.15343982,-9.780644
991117784,991117299,0.12290968,0.15705219,-9.805608
991162633,991162317,0.077848315,0.15949589,-9.803573
991212829,991212337,0.114818566,0.20587316,-9.772431
991262678,991262357,0.16190772,0.18977459,-9.77141
991312708,991312377,0.15086235,0.18111578,-9.768291
991362709,991362397,0.13827519,0.15450138,-9.801611
991412741,991412417,0.13330476,0.18489002,-9.805729
991467762,991467439,0.09988598,0.20555158,-9.783238
991512764,991512457,0.097223334,0.21861339,-9.821086
991562805,991562477,0.12392738,0.28851902,-9.82113
991612821,991612497,0.15951374,0.27766186,-9.823422
991667828,991667519,0.18566407,0.19960214,-9.8012705
991713050,991712537,0.11041545,0.16272584,-9.733585
991762873,991762557,0.12759988,0.20130602,-9.753161
991817889,991817579,0.11833587,0.25611812,-9.805774
991862907,991862596,0.12263749,0.14799915,-9.789703
991912925,991912616,0.36280328,-0.000836521,-9.71979
991963142,991962636,0.17470725,0.2101503,-9.750221
992012989,992012656,0.0029808106,0.18170889,-9.818584
992063003,992062676,-0.20211521,0.20379077,-9.890727
992113024,992112695,0.020109696,-0.027536163,-9.908074
992163021,992162715,0.2278287,0.23549494,-9.926799
992213174,992212735,-0.0775975,0.56884354,-9.719323
992263071,992262754,-0.06270642,0.1648947,-9.824043
992313108,992312774,-0.07716115,0.030591859,-9.605095
992363106,992362794,0.989707,0.5268843,-9.697314
992413132,992412813,-0.31368107,0.18266918,-9.807975
992463276,992462833,0.12758136,-0.18834451,-9.883686
992513174,992512853,-0.2941257,-0.22106779,-9.830609
992563201,992562872,0.25947618,0.29388225,-9.943162
992613210,992612892,-0.3512169,0.15083142,-9.932081
992663218,992662912,0.16485602,0.5360556,-9.986066
992713372,992712930,0.6852873,-0.1593102,-9.575065
992763272,992762950,-0.23257773,0.15061888,-9.935982
992813308,992812969,0.1743309,-0.30366138,-9.749753
992863309,992862989,-0.122622676,0.11708258,-9.886793
992913326,992913008,-0.74336255,0.06907012,-9.901827
992963371,992963027,-0.083760045,0.13660125,-9.79829
993013360,993013046,0.062503286,-0.04065646,-10.27229
993063403,993063066,0.7467175,0.21438834,-10.09478
993113397,993113085,1.0953689,0.11555358,-9.905831
993163429,993163104,0.566042,0.36765736,-10.69061
993213435,993213123,0.9044245,-0.1475178,-10.102999
993263448,993263142,0.248469,0.18392234,-10.213688
993313489,993313161,0.20358291,0.26910743,-10.183102
993363484,993363180,0.7224811,0.06989265,-9.889166
993413526,993413198,0.69701236,0.25281718,-10.234173
993463521,993463217,0.33993393,0.34293357,-9.888915
993513562,993513236,0.51786333,0.05947131,-9.519283
993563582,993563255,0.9125099,-0.082124814,-9.857744
993613579,993613273,0.7814942,-0.036360912,-9.791089
993663627,993663292,0.46147296,-0.07911117,-9.8082075
993713617,993713310,0.5223727,0.20668557,-9.754049
993763635,993763329,0.55569994,0.044386968,-9.829721
993813894,993813347,0.6371231,0.31137532,-9.67112
993863671,993863366,1.0270454,0.045516577,-9.824542
993913712,993913384,0.7178656,-0.051965803,-9.922268
993963712,993963402,0.7422651,-0.045618027,-9.92745
994013729,994013421,0.50064164,0.07814994,-10.063452
994063940,994063439,0.4264295,-0.012470865,-9.55686
994113762,994113457,0.57465297,0.07677337,-9.684362
994163803,994163475,0.35822567,0.13437568,-9.563314
994213848,994213493,0.37716675,-0.15153319,-9.360445
994263832,994263511,0.63474566,0.024814809,-9.422851
994314067,994313530,0.6601752,0.004175327,-9.609601
994363852,994363548,0.7179059,0.07360174,-9.430138
994413895,994413566,0.376894,-0.06895051,-9.882641
994463916,994463584,0.6768302,0.18525441,-10.057623
994513951,994513602,0.3630771,0.107087485,-9.684932
994564056,994563619,0.4373753,0.1622348,-10.239053
994613994,994613637,0.5511566,0.27550068,-9.979991
994663997,994663655,0.63107365,0.0215083,-9.880045
994714030,994713673,0.89015526,0.17698587,-9.630291
994763998,994763691,0.6954967,-0.026918452,-9.836023
