timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
986560432,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
987063078,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
987569082,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
988079094,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
988585073,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
989091074,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
989599075,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
990106075,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
990612075,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
991119095,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
991625075,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
992131074,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
992639073,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
993146074,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
993654310,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
994160331,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
994666074,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
995174703,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
995680094,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
996186094,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
996692351,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
997200468,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
997707251,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
998214212,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
998720076,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
999226518,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
999732074,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1000239074,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1000746627,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1001253243,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1001760234,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1002266084,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1002773075,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1003280101,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1003786073,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1004292076,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1004798074,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1005304074,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1005811074,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1006317203,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1006823074,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1007331074,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1007838205,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1008346092,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1008853074,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1009360087,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1009866415,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1010374073,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1010881255,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1011387094,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1011895284,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1012402919,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1012908135,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1013415076,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1013921445,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1014428088,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1014935199,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1015442305,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1015948116,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1016455093,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1016962074,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1017469076,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1017975074,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
1018085280,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1018591069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1019098070,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1019604069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1020111077,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1020617084,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1021123069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1021630356,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1022136343,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1022642070,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1023148086,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1023655347,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1024161068,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1024667251,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1025173636,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1025680087,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1026186069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1026692295,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1027199069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1027706069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1028212069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1028718217,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1029225177,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1029731190,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1030237071,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1030744089,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1031251578,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1031758277,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1032264069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1032771070,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1033279090,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1033785467,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1034292069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1034798099,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1035304244,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1035810386,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1036316086,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1036825069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1037331941,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1037837251,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1038343201,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1038849068,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1039355070,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1039862096,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1040369284,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1040875070,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1041381069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1041889067,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1042395221,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1042901069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1043407070,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1043913069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1044420077,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1044926070,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1045432083,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1045938251,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1046445070,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1046952071,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1047458269,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1047964070,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1048470204,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1048977080,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1049483070,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1049989553,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1050495186,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1051002070,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1051508467,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1052014069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1052521205,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
