timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
987095933,987095665,3670026,3670026,-9.854409e-06,-2.32148e-05,2.6204036e-05,0.0010202599,0.0015245698,-0.049193416,5002,5002,0,0,1,1
987596131,987595871,3670026,3670026,-2.224313e-05,2.3636741e-05,3.1564858e-05,-5.2848874e-05,0.0009490815,-0.04900375,5002,5002,0,0,1,1
988096341,988096076,3670026,3670026,-3.3934866e-05,-3.547589e-05,-9.892762e-06,0.00070366997,0.0017498721,-0.049228895,5002,5002,0,0,1,1
988596547,988596280,3670026,3670026,-1.9717578e-05,2.6336458e-05,-1.5786727e-05,0.0014353289,0.0013290074,-0.04852762,5002,5002,0,0,1,1
989096836,989096484,3670026,3670026,-2.2579216e-05,1.0117631e-05,-1.0311498e-05,0.0009066592,0.0016704447,-0.04886162,5002,5002,0,0,1,1
989597043,989596687,3670026,3670026,-3.360376e-05,-1.1057693e-05,-1.929326e-05,8.751971e-07,0.00116025,-0.048981152,5002,5002,0,0,1,1
990097248,990096889,3670026,3670026,-4.5067278e-05,-1.1822978e-06,1.6395015e-05,0.00074650167,0.0015832065,-0.048869647,5002,5002,0,0,1,1
990597468,990597091,3670026,3670026,-2.111522e-05,1.6618487e-05,-6.740427e-06,0.00073140045,0.0006562053,-0.049136452,5002,5002,0,0,1,1
991092652,991092289,3670026,3670026,-5.699384e-05,2.0452999e-05,4.6710675e-06,0.0013656286,0.001830622,-0.049128693,5002,5002,0,0,1,1
991592856,991592489,3670026,3670026,-5.081479e-05,2.2531882e-05,2.019607e-05,0.0017439801,0.0044331,-0.04991232,5002,5002,0,0,1,1
992093066,992092690,3670026,3670026,3.2090233e-05,6.7990186e-05,3.2536263e-05,0.0017202301,-0.0032632148,-0.04921528,5005,5005,0,0,1,1
992598284,992597886,3670026,3670026,2.3140743e-05,-0.0001460326,-5.7789846e-05,-0.0068996632,-0.009778887,-0.046463724,5002,5002,0,0,1,1
993098447,993098079,3670026,3670026,-0.0002054132,0.00037491202,-0.00028955084,-0.00016829305,0.0025421735,-0.052219104,5002,5002,0,0,1,1
993598648,993598268,3670026,3670026,2.1367487e-05,0.0003907345,-0.0006254257,0.0113292,-0.009353327,-0.046874072,5002,5002,0,0,1,1
994098817,994098451,3670026,3670026,-0.00017039984,9.5320145e-05,0.0005976413,0.007487307,0.009208562,-0.05092156,5001,5001,0,0,1,1
994594152,994593630,3670026,3670026,-0.00037286754,-0.00065384014,-8.257649e-05,0.011192511,-0.006999482,-0.04019903,5002,5002,0,0,1,1
995094227,995093809,3670026,3670026,-9.6717886e-05,0.0001615807,0.00025233225,0.004003952,0.0028329017,-0.060443215,5003,5003,0,0,1,1
995594348,995593982,3670026,3670026,-0.00030925215,7.822852e-05,-1.1312458e-05,0.00403979,0.00719565,-0.057321437,5002,5002,0,0,1,1
996094542,996094153,3670026,3670026,-0.00012299494,-0.00011682953,-8.8753215e-05,0.009462379,0.004074761,-0.04910449,5001,5001,0,0,1,1
996594671,996594322,3670026,3670026,0.00018581544,0.00013639726,-0.00025939159,0.0074809887,-0.0011426926,-0.04339241,5002,5002,0,0,1,1
997094850,997094488,3670026,3670026,-0.0002397294,4.4560515e-05,1.0886978e-05,0.009287797,0.00468215,-0.059756953,5002,5002,0,0,1,1
997594999,997594650,3670026,3670026,3.6920963e-05,0.00014025252,-0.000150871,0.005302536,0.00065886276,-0.050446644,5001,5001,0,0,1,1
998095157,998094810,3670026,3670026,-0.00014926752,-0.0002347802,-7.2757706e-05,-0.0128423665,0.005950931,-0.04159079,5001,5001,0,0,1,1
998595319,998594968,3670026,3670026,-9.3834205e-05,-7.3168245e-05,0.00029849616,0.0018089119,0.013662232,-0.05555406,5002,5002,0,0,1,1
