timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,dist_bottom_var,delta_dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max_z,hagl_max_xy,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_reset_counter,dist_bottom_sensor_bitfield,dead_reckoning
986957888,986957084,0,nan,nan,-0.010475503,-0.32235274,-0.20875457,-89.03775,-8.773255,-0.16431995,0.0017351296,-0.00029091517,-0.006655332,-0.005325144,-0.000244549,0.0007084432,-0.052208237,0.056811206,0.017908389,-0.007876649,1.7023495,0.00011372001,-0.35144684,0.026607037,1.0399273e-05,nan,0.1,0.010000001,-0.16431995,0.0035375129,0.0014656154,0.010406631,0.0015420897,inf,inf,inf,inf,inf,1,1,1,1,6,3,5,2,3,1,0,0,0,3,0,0
986968723,986967466,0,nan,nan,-0.010464057,-0.3223612,-0.20880537,-89.03775,-8.773255,-0.16431995,0.0013925842,0.0002413719,-0.00745711,-0.006122518,-0.000244549,0.0007084432,-0.052208237,-0.032290734,0.053347457,-0.0786173,1.7024144,0.000113820235,-0.35138407,0.026607037,1.0453568e-05,nan,0.1,0.010000001,-0.16431995,0.0036256984,0.0014777778,0.010578391,0.0015494241,inf,inf,inf,inf,inf,1,1,1,1,6,3,5,2,3,1,0,0,0,3,0,0
987062076,987061255,0,nan,nan,-0.0103664035,-0.32247382,-0.20942642,-89.03775,-8.773255,-0.16431995,0.0017492968,-0.0006954833,-0.011137404,-0.009757955,-0.000244549,0.0007084432,-0.052208237,0.04345271,-0.06627286,-0.08151146,1.7023481,0.0001138179,-0.35145938,0.026607037,1.0447137e-05,nan,0.1,0.010000001,-0.16431995,0.0036007415,0.0014750201,0.01054091,0.0015475486,inf,inf,inf,inf,inf,1,1,1,1,6,3,5,2,3,1,0,0,0,3,0,0
987166142,987165420,0,nan,nan,-0.010211945,-0.32254365,-0.21061713,-89.03775,-8.773255,-0.16431995,0.0030287036,-0.00025748697,-0.017587114,-0.016152702,-0.000244549,0.0007084432,-0.052208237,0.047293067,0.013680163,-0.08489595,1.7022315,0.00011385642,-0.3515868,0.026607037,1.0499489e-05,nan,0.1,0.010000001,-0.16431995,0.0036739605,0.0014847982,0.010701954,0.0015533763,inf,inf,inf,inf,inf,1,1,1,1,6,3,5,2,3,1,0,0,0,3,0,0
987260020,987259221,0,nan,nan,-0.010036214,-0.32259014,-0.2123487,-89.03775,-8.773255,-0.16431995,0.0024735585,0.0007413368,-0.0251742,-0.023677276,-0.000244549,0.0007084432,-0.052208237,-0.027675264,0.14294554,-0.12843022,1.7022642,0.00011385308,-0.35156342,0.026607037,1.0461439e-05,nan,0.1,0.010000001,-0.16431995,0.0036257545,0.0014806791,0.010600225,0.0015502555,inf,inf,inf,inf,inf,1,1,1,1,6,3,5,2,3,1,0,0,0,3,0,0
987364273,987363497,0,nan,nan,-0.009768751,-0.32257372,-0.21501388,-89.03775,-8.773255,-0.16431995,0.0032304765,0.0012180294,-0.031517103,-0.029897518,-0.000244549,0.0007084432,-0.052208237,-0.098061875,0.10183353,-0.035904005,1.7022793,0.00011376092,-0.35156265,0.026607037,1.0420577e-05,nan,0.1,0.010000001,-0.16431995,0.0035605293,0.0014727832,0.010483345,0.001545069,inf,inf,inf,inf,inf,1,1,1,1,6,3,5,2,3,1,0,0,0,3,0,0
987458297,987457288,0,nan,nan,-0.009571485,-0.32255417,-0.21788968,-89.03775,-8.773255,-0.16431995,0.004018669,-0.0008207683,-0.03782934,-0.036018964,-0.000244549,0.0007084432,-0.052208237,0.07186936,-0.15959635,-0.07980934,1.702264,0.000113757895,-0.3515915,0.026607037,1.0418296e-05,nan,0.1,0.010000001,-0.16431995,0.0035462384,0.0014698006,0.010482846,0.001543343,inf,inf,inf,inf,inf,1,1,1,1,6,3,5,2,3,1,0,0,0,3,0,0
987562151,987561380,0,nan,nan,-0.009320326,-0.32249787,-0.22156641,-89.03775,-8.773255,-0.16431995,0.0038492037,-0.00010023718,-0.044468902,-0.042303924,-0.000244549,0.0007084432,-0.052208237,0.0307195,-0.065401405,-0.090461254,1.702231,0.00011366777,-0.35164014,0.026607037,1.0403941e-05,nan,0.1,0.010000001,-0.16431995,0.003518352,0.0014637854,0.010452114,0.00154013,inf,inf,inf,inf,inf,1,1,1,1,6,3,5,2,3,1,0,0,0,3,0,0
987666518,987665638,0,nan,nan,-0.009092444,-0.32234806,-0.22576852,-89.03775,-8.773255,-0.16431995,0.0042913686,0.0017894565,-0.052033804,-0.049314577,-0.000244549,0.0007084432,-0.052208237,-0.014738756,-0.027008962,-0.0473065,1.7023481,0.000113634625,-0.3515369,0.026607037,1.0387181e-05,nan,0.1,0.010000001,-0.16431995,0.0034954362,0.0014581401,0.010425603,0.00153724,inf,inf,inf,inf,inf,1,1,1,1,6,3,5,2,3,1,0,0,0,3,0,0
987760201,987759421,0,nan,nan,-0.0089184325,-0.32215413,-0.22992618,-89.03775,-8.773255,-0.16431995,0.0049464945,0.0018107458,-0.05930097,-0.05587626,-0.000244549,0.0007084432,-0.052208237,0.08642177,-0.04369417,-0.12013346,1.7023908,0.00011357343,-0.35150468,0.026607037,1.0377548e-05,nan,0.1,0.010000001,-0.16431995,0.0034961859,0.0014565865,0.010429642,0.0015367983,inf,inf,inf,inf,inf,1,1,1,1,6,3,5,2,3,1,0,0,0,3,0,0
