timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
111114748,111114466,0.6633956,-0.0047687828,-0.0054541887,0.7482338,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
111614891,111614614,0.66336936,-0.00465958,-0.0053741606,0.74825835,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
112118968,112114780,0.6633872,-0.004568112,-0.0052793343,0.7482438,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
112615175,112614891,0.6633539,-0.0047048028,-0.005276413,0.7482725,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
113115255,113114973,0.66337824,-0.005012589,-0.005324092,0.7482486,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
113615427,113615140,0.6634167,-0.00522627,-0.0053657065,0.74821275,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
114115548,114115253,0.66340536,-0.0053179273,-0.005407195,0.7482218,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
114615700,114615416,0.6634167,-0.0051237005,-0.0052954457,0.74821395,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
115115815,115115511,0.66348,-0.0044098734,-0.0055132415,0.7481607,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
115615982,115615699,0.663493,-0.0029850325,-0.0061505763,0.74815136,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
116116086,116115801,0.66382235,0.008756091,-0.014838264,0.7476918,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
116616231,116615957,0.6635076,0.022120686,-0.025754316,0.74739885,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
117116329,117116031,0.6578901,0.02197688,-0.021612477,0.75248307,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
117616390,117616105,0.6621197,-0.012226533,0.0061819325,0.7492729,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
118116454,118116169,0.66770047,-0.03129241,0.025402198,0.74333817,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
118616601,118616265,0.66980094,-0.013833406,0.009132787,0.7423557,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
119116678,119116387,0.67193586,-0.021638077,0.011781035,0.7401995,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
119611457,119611161,0.67045707,-0.024068514,0.013280909,0.7414389,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
120111548,120111258,0.6651827,-0.020664576,0.011857516,0.7463004,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
120616823,120616530,0.65964353,-0.017168995,0.011167255,0.7512995,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
121116877,121116562,0.66033906,-0.016092656,0.010429759,0.7507227,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
121617006,121616715,0.6632668,-0.0153544005,0.010964936,0.7481452,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
122117725,122116751,0.6632536,-0.014593199,0.012048983,0.7481554,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
122617178,122616820,0.66133946,-0.013020438,0.010936941,0.749894,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
123117204,123116842,0.6644138,-0.013700246,0.009464356,0.74717945,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
123617273,123616917,0.6650255,-0.0147365285,0.009329932,0.7466171,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
124117288,124116997,0.66523594,-0.014088837,0.009353971,0.7464417,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
124617401,124616999,0.664707,-0.015273845,0.008761041,0.7468966,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
125117387,125117088,0.66754717,-0.016116448,0.008481744,0.74434483,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
125617400,125617103,0.6668984,-0.014754268,0.008745316,0.74495125,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
126117689,126117192,0.66123104,-0.015023005,0.010052081,0.7499646,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
126617531,126617201,0.66105705,-0.014810523,0.010220502,0.75012,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
127112364,127112075,0.6619484,-0.014664167,0.008117257,0.7493621,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
127617599,127617321,0.66337585,-0.013687407,0.0076247924,0.74812233,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
128117741,128117336,0.6646513,-0.013632912,0.007835198,0.74698836,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
128617682,128617393,0.66873825,-0.010205336,0.00040900038,0.74342775,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
129117720,129117430,0.6786154,-0.014208354,0.007336764,0.73431975,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
129617750,129617457,0.6868382,-0.015325253,0.015927577,0.7264742,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
130117813,130117518,0.69347346,-0.011910642,0.005585187,0.7203621,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
130616547,130612521,0.69945264,-0.016416878,0.0014717422,0.71448886,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
131112721,131112360,0.7018848,-0.02004777,0.002093702,0.7120052,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
131618568,131617674,0.7028803,-0.017170345,0.008081628,0.711055,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
132112948,132112421,0.703248,-0.014060474,0.0111726755,0.71071774,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
132612764,132612445,0.70438516,-0.011635851,0.013125504,0.7096012,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
133117946,133117640,0.70555353,-0.012715873,0.010162179,0.7084697,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
133612821,133612493,0.7061564,-0.014826192,0.005930257,0.7078759,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
134112857,134112524,0.7046169,-0.014991281,0.0014886082,0.709428,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
134613417,134612526,0.70398223,-0.017506922,0.0047666584,0.70998585,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
135118001,135117718,0.7031541,-0.019393904,0.007136086,0.7107371,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
135617998,135617694,0.7015696,-0.018816676,0.008849844,0.71229744,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
136118097,136117760,0.7005565,-0.017805232,0.009959082,0.71330523,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
136618154,136617730,0.7000108,-0.021636099,0.0027634054,0.7137992,0.7856455,-3.4440253e-10,-7.942436e-10,0.61867696,1
