timestamp,timestamp_sample,information_event_changes,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
110050118,5795059,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
111060495,5795059,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
112071001,5795059,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
113081233,5795059,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
114091553,5795059,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
115101798,5795059,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
116112259,5795059,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
117122555,5795059,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
118127788,5795059,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
119137948,5795059,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
120148461,5795059,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
121158357,5795059,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
122168695,5795059,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
122688954,122498255,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
123698919,122498255,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
124709283,122498255,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125719560,122498255,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126729734,122498255,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
127739875,122498255,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
127983767,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
128990332,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130000278,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131010472,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
132024784,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
133030937,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
134040852,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135050968,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
136064832,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
137071029,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
138081249,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139091420,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140105181,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
141111527,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
142121821,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
143131533,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
144145435,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145151600,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
146162285,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
147171642,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
148182032,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
149191924,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
150202012,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
151211737,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
152221883,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
153232408,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
154241801,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
155251933,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
156265701,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
157271951,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
158281932,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
159291707,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
160301957,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
161311863,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162321808,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
163331752,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
164341766,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
165351726,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
166361509,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
167372069,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
168381437,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
169391728,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
170401488,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
171411606,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
172425470,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
173431506,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
174441533,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
175451183,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
176465147,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
177471274,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
178481007,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
179491146,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
180504791,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
181511255,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
182520752,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
183530489,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
184540598,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
185550349,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
186560434,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
187570222,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
188580414,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
189590054,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
190600113,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
191609846,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
192623983,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
193629711,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
194639601,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
195649587,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
196659612,127789334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
