timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
110774657,0.00029632915,0.010244151,0.00070283836,5002,0,0.3576364,0.23337692,-9.839242,5002,0,0,1,1
110779659,-0.0038655445,0.014605924,0.008526789,5002,0,0.39147618,0.034742586,-9.810333,5002,0,0,1,1
110784661,-0.0029262714,0.013571397,0.009164816,5002,0,0.2308227,0.277882,-9.819846,5002,0,0,1,1
110789665,-4.533492e-05,0.00987471,0.010079275,5004,0,0.23204641,-0.100897364,-9.963345,5004,0,0,1,1
110794664,0.0049406975,0.0075684157,0.0036700703,4999,0,0.13577452,0.06900389,-9.874747,4999,0,0,1,1
110799666,0.0034236002,0.00971115,0.0071427436,5002,0,0.13407731,-0.044446275,-9.677745,5002,0,0,1,1
110804668,-0.0012762472,0.01348348,0.0015226275,5002,0,0.52872694,0.25477067,-9.709954,5002,0,0,1,1
110809669,-0.0020154752,0.0074464865,-0.0030588876,5001,0,0.48959264,0.06817056,-9.788477,5001,0,0,1,1
110814671,0.0012417448,0.008427091,-0.00074919214,5002,0,0.4444368,0.012635601,-9.834461,5002,0,0,1,1
110819673,0.0056868736,0.0047691474,-0.003452339,5002,0,0.29692504,0.008589894,-9.8309555,5002,0,0,1,1
110824675,0.009117942,0.016254652,-0.0035774412,5002,0,0.45000476,0.028563654,-9.817347,5002,0,0,1,1
110829676,0.003358854,0.0059561776,-0.0045270836,5001,0,0.42107418,0.1447939,-9.800028,5001,0,0,1,1
110834678,0.0005225893,0.01309994,-0.002166837,5002,0,0.39680737,0.08734352,-9.768404,5002,0,0,1,1
110844682,0.002466831,0.01456529,-0.00036911946,5002,0,0.28487802,0.023896001,-9.904602,5002,0,0,1,1
110849684,0.0049357936,0.00018897606,0.0037987677,5002,0,0.18000853,-0.0036036929,-9.901086,5002,0,0,1,1
110854685,0.008255565,0.011634232,0.0009993725,5001,0,0.20661192,-0.040099725,-9.736682,5001,0,0,1,1
110859687,0.0030922142,0.002713264,0.00025904924,5002,0,0.3736767,0.19610037,-9.648113,5002,0,0,1,1
110864689,-0.002240399,0.0079930425,0.0030147543,5002,0,0.4562485,0.09792347,-9.848567,5002,0,0,1,1
110869691,-0.0019762868,0.006768626,0.0052324818,5002,0,0.39531884,-0.08812586,-9.819944,5002,0,0,1,1
110874692,0.0020638425,0.011180093,0.0009748871,5001,0,0.29600522,-0.05350166,-9.802715,5001,0,0,1,1
110879694,0.005009996,0.0044842027,0.0047178525,5002,0,0.43312508,0.08238845,-9.8578205,5002,0,0,1,1
110884696,0.0043713534,0.0097825285,-0.000651787,5002,0,0.30162415,0.19366316,-9.790036,5002,0,0,1,1
110889698,-0.0023477606,0.0060340017,0.0038414604,5002,0,0.4422573,0.029261623,-9.7704,5002,0,0,1,1
110894699,-0.0011685956,0.012699434,0.0019606547,5001,0,0.34481692,0.24409996,-9.831736,5001,0,0,1,1
110899701,-0.00056330673,0.0046784244,0.00016597564,5002,0,0.29188138,0.15580143,-9.89176,5002,0,0,1,1
110904703,0.0013128038,0.013750159,-0.003255111,5002,0,0.0862709,-0.0052002426,-9.7833395,5002,0,0,1,1
110909705,0.003919084,0.009643826,-0.003377889,5002,0,0.37863746,-0.10623217,-9.799238,5002,0,0,1,1
110914706,-0.00033064187,0.013498549,-0.0052009635,5001,0,0.3835132,0.18127844,-9.722776,5001,0,0,1,1
110919708,-0.003504603,0.00879878,0.0008973134,5002,0,0.3569727,0.033638567,-9.850134,5002,0,0,1,1
110924710,-0.00066218985,0.010056738,0.0034331472,5002,0,0.28704423,-0.09098215,-9.861252,5002,0,0,1,1
110929712,0.0036637923,0.008985222,0.004652121,5002,0,0.36534473,-0.016910087,-9.833705,5002,0,0,1,1
110934714,0.0061078398,0.016914457,0.0051326295,5002,0,0.41032365,0.12929949,-9.743998,5002,0,0,1,1
