timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time,source_protocol
111707818,1743066010771111,-1743065899063614,-1743065899063570,637,0
112705852,1743066011769052,-1743065899063539,-1743065899063587,672,0
113706625,1743066012770146,-1743065899063720,-1743065899063607,365,0
114707655,1743066013771127,-1743065899063712,-1743065899063627,475,0
115707673,1743066014771210,-1743065899063749,-1743065899063645,420,0
116707614,1743066015771283,-1743065899063814,-1743065899063665,284,0
117707504,1743066016771135,-1743065899063796,-1743065899063686,323,0
118707910,1743066017771438,-1743065899063742,-1743065899063706,423,0
119707785,1743066018771287,-1743065899063780,-1743065899063725,551,0
120705541,1743066019769231,-1743065899063833,-1743065899063743,281,0
121707595,1743066020771192,-1743065899063808,-1743065899063759,413,0
122707762,1743066021771338,-1743065899063820,-1743065899063779,482,0
123707906,1743066022771648,-1743065899063903,-1743065899063798,317,0
124705508,1743066023769234,-1743065899063892,-1743065899063817,328,0
125707573,1743066024771293,-1743065899063919,-1743065899063835,394,0
126707389,1743066025770860,-1743065899063792,-1743065899063854,636,0
127707538,1743066026771316,-1743065899063959,-1743065899063875,358,0
128705541,1743066027769346,-1743065899063988,-1743065899063893,361,0
129705566,1743066028769391,-1743065899064022,-1743065899063912,384,0
130707570,1743066029771417,-1743065899064043,-1743065899063933,386,0
131707722,1743066030771552,-1743065899064104,-1743065899063951,542,0
132707780,1743066031771551,-1743065899064003,-1743065899063970,453,0
133707107,1743066032770465,-1743065899063823,-1743065899063989,924,0
134707488,1743066033771429,-1743065899064096,-1743065899064008,305,0
135707574,1743066034771461,-1743065899064079,-1743065899064027,378,0
136707146,1743066035770525,-1743065899063864,-1743065899064045,967,0
137707717,1743066036771552,-1743065899064082,-1743065899064064,490,0
138707039,1743066037770747,-1743065899064066,-1743065899064084,710,0
139707062,1743066038770621,-1743065899063980,-1743065899064104,837,0
140707597,1743066039771623,-1743065899064609,-1743065899064125,1161,0
141705602,1743066040769691,-1743065899064256,-1743065899064144,330,0
142705979,1743066041770068,-1743065899064260,-1743065899064163,339,0
143707855,1743066042771796,-1743065899064244,-1743065899064184,601,0
144706571,1743066043770704,-1743065899064302,-1743065899064202,335,0
145706734,1743066044770688,-1743065899064234,-1743065899064221,554,0
146707759,1743066045771914,-1743065899064351,-1743065899064241,345,0
147708021,1743066046771851,-1743065899064186,-1743065899064259,706,0
148705747,1743066047769910,-1743065899064401,-1743065899064279,471,0
149707754,1743066048771810,-1743065899064317,-1743065899064298,519,0
150706522,1743066049770794,-1743065899064445,-1743065899064317,341,0
151706677,1743066050770922,-1743065899064424,-1743065899064337,352,0
152705520,1743066051769815,-1743065899064467,-1743065899064358,339,0
153706687,1743066052770922,-1743065899064421,-1743065899064376,366,0
154707481,1743066053771848,-1743065899064521,-1743065899064393,302,0
155707586,1743066054771975,-1743065899064546,-1743065899064412,309,0
156706501,1743066055770931,-1743065899064603,-1743065899064431,341,0
157706488,1743066056770899,-1743065899064568,-1743065899064451,308,0
158706200,1743066057770258,-1743065899064528,-1743065899064470,937,0
159707697,1743066058772140,-1743065899064609,-1743065899064489,328,0
160705988,1743066059770248,-1743065899064541,-1743065899064508,557,0
161705746,1743066060770237,-1743065899064632,-1743065899064529,276,0
162706095,1743066061770215,-1743065899064469,-1743065899064548,695,0
163705579,1743066062770081,-1743065899064677,-1743065899064568,345,0
164707112,1743066063771266,-1743065899064616,-1743065899064588,919,0
165707774,1743066064772338,-1743065899064741,-1743065899064609,350,0
166707489,1743066065772111,-1743065899064777,-1743065899064629,305,0
167706468,1743066066771083,-1743065899064762,-1743065899064651,288,0
168706640,1743066067771298,-1743065899064798,-1743065899064673,274,0
169706624,1743066068771316,-1743065899064853,-1743065899064697,318,0
170705521,1743066069770164,-1743065899064816,-1743065899064720,340,0
171708011,1743066070772353,-1743065899064722,-1743065899064741,754,0
172705643,1743066071770213,-1743065899064803,-1743065899064763,463,0
173706755,1743066072771389,-1743065899064885,-1743065899064786,494,0
174707506,1743066073772233,-1743065899064891,-1743065899064808,325,0
175707497,1743066074772269,-1743065899064933,-1743065899064830,316,0
176707765,1743066075772581,-1743065899064955,-1743065899064852,273,0
177705571,1743066076770363,-1743065899064989,-1743065899064875,391,0
178705590,1743066077770378,-1743065899064991,-1743065899064895,400,0
179705687,1743066078770371,-1743065899064940,-1743065899064915,507,0
180705638,1743066079770444,-1743065899065038,-1743065899064938,458,0
181707699,1743066080772443,-1743065899065007,-1743065899064961,516,0
182706659,1743066081771561,-1743065899065068,-1743065899064982,327,0
183707426,1743066082771576,-1743065899064724,-1743065899065002,1142,0
184707564,1743066083772546,-1743065899065128,-1743065899065025,286,0
185707768,1743066084772640,-1743065899065092,-1743065899065044,436,0
186706575,1743066085771528,-1743065899065151,-1743065899065065,391,0
187705579,1743066086770525,-1743065899065148,-1743065899065086,400,0
188707022,1743066087772033,-1743065899065356,-1743065899065107,684,0
189707822,1743066088772649,-1743065899065094,-1743065899065129,529,0
190705574,1743066089770626,-1743065899065217,-1743065899065150,326,0
191705625,1743066090770623,-1743065899065217,-1743065899065171,428,0
192707547,1743066091772718,-1743065899065319,-1743065899065194,291,0
193707484,1743066092772654,-1743065899065323,-1743065899065216,303,0
194706590,1743066093771731,-1743065899065348,-1743065899065238,409,0
195705996,1743066094770718,-1743065899065125,-1743065899065259,801,0
196706556,1743066095771718,-1743065899065351,-1743065899065282,372,0
